date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:11	109/109	---MC-	200	added ('OK')	text/plain	date:Thu,%2014%20Sep%202023%2017:48:28%20GMT	https://risis.in/robots.txt		(from )
18:48:11	114380/114380	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:03%20GMT	https://risis.in/	C:/My%20Web%20Sites/risis/risis.in/index.html	(from )
18:48:13	855/855	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2026%20Aug%202021%2003:52:58%20GMT	https://risis.in/comments/feed/	C:/My%20Web%20Sites/risis/risis.in/comments/feed/index.html	(from https://risis.in/)
18:48:14	4355/4355	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2026%20Aug%202021%2003:52:58%20GMT	https://risis.in/feed/	C:/My%20Web%20Sites/risis/risis.in/feed/index.html	(from https://risis.in/)
18:48:14	104484/104484	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2003:03:16%20GMT	https://risis.in/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/css/dist/block-library/style.min9b30.css	(from https://risis.in/)
18:48:14	11256/11256	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2021:23:06%20GMT	https://risis.in/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/risis/risis.in/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://risis.in/)
18:48:15	4186/4186	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Jun%202019%2002:15:02%20GMT	https://risis.in/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/js/mediaelement/wp-mediaelement.min9b30.css	(from https://risis.in/)
18:48:18	121205/121205	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2007:53:47%20GMT	https://risis.in/wp-content/themes/lawyer-zone/assets/library/bootstrap/css/bootstrap.min.css?ver=3.3.6	C:/My%20Web%20Sites/risis/risis.in/wp-content/themes/lawyer-zone/assets/library/bootstrap/css/bootstrap.mine485.css	(from https://risis.in/)
18:48:18	31004/31004	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2007:53:47%20GMT	https://risis.in/wp-content/themes/lawyer-zone/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0	C:/My%20Web%20Sites/risis/risis.in/wp-content/themes/lawyer-zone/assets/library/Font-Awesome/css/font-awesome.min268f.css	(from https://risis.in/)
18:48:19	1327/1327	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Sep%202022%2016:09:35%20GMT	https://risis.in/wp-content/plugins/gutentor/assets/library/slick/slick.min.css?ver=1.8.1	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/gutentor/assets/library/slick/slick.minc245.css	(from https://risis.in/)
18:48:21	5235/5235	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Sep%202022%2016:09:35%20GMT	https://risis.in/wp-content/plugins/gutentor/assets/library/magnific-popup/magnific-popup.min.css?ver=1.8.0	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/gutentor/assets/library/magnific-popup/magnific-popup.minee8b.css	(from https://risis.in/)
18:48:23	108282/108282	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2007:53:47%20GMT	https://risis.in/wp-content/themes/lawyer-zone/style.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-content/themes/lawyer-zone/style9b30.css	(from https://risis.in/)
18:48:23	1192/1192	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2007:53:47%20GMT	https://risis.in/wp-content/themes/lawyer-zone/acmethemes/gutenberg/gutenberg-front.css?ver=1.0	C:/My%20Web%20Sites/risis/risis.in/wp-content/themes/lawyer-zone/acmethemes/gutenberg/gutenberg-front5152.css	(from https://risis.in/)
18:48:25	84576/84576	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2003:03:16%20GMT	https://risis.in/wp-includes/css/dist/components/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/css/dist/components/style.min9b30.css	(from https://risis.in/)
18:48:27	112986/112986	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2003:03:16%20GMT	https://risis.in/wp-includes/css/dist/block-editor/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/css/dist/block-editor/style.min9b30.css	(from https://risis.in/)
18:48:28	490/490	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2003:03:16%20GMT	https://risis.in/wp-includes/css/dist/reusable-blocks/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/css/dist/reusable-blocks/style.min9b30.css	(from https://risis.in/)
18:48:30	18129/18129	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2003:03:16%20GMT	https://risis.in/wp-includes/css/dist/editor/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/css/dist/editor/style.min9b30.css	(from https://risis.in/)
18:48:32	280112/280112	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Sep%202022%2016:09:35%20GMT	https://risis.in/wp-content/plugins/gutentor/dist/blocks.style.build.css?ver=3.2.4	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/gutentor/dist/blocks.style.builde1e3.css	(from https://risis.in/)
18:48:32	85690/85690	---M--	200	added ('OK')	text/css	date:Tue,%2030%20May%202023%2016:56:27%20GMT	https://risis.in/wp-content/plugins/jetpack/css/jetpack.css?ver=11.3.3	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/jetpack/css/jetpack6974.css	(from https://risis.in/)
18:48:34	87482/87482	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:03:15%20GMT	https://risis.in/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/My%20Web%20Sites/risis/risis.in/wp-includes/js/jquery/jquery.min3088.js	(from https://risis.in/)
18:48:35	13577/13577	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:03:15%20GMT	https://risis.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/risis/risis.in/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://risis.in/)
18:48:37	1284/1284	---MC-	200	added ('OK')	application/json	date:Thu,%2014%20Sep%202023%2017:48:36%20GMT	https://risis.in/wp-json/wp/v2/pages/6	C:/My%20Web%20Sites/risis/risis.in/wp-json/wp/v2/pages/6.json	(from https://risis.in/)
18:48:38	289300/289300	---MC-	200	added ('OK')	application/json	date:Thu,%2014%20Sep%202023%2017:48:36%20GMT	https://risis.in/wp-json/	C:/My%20Web%20Sites/risis/risis.in/wp-json/index.html	(from https://risis.in/)
18:48:38	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2014%20Sep%202023%2017:48:38%20GMT	https://risis.in/xmlrpc.php?rsd	C:/My%20Web%20Sites/risis/risis.in/xmlrpc.120db0.delayed	(from https://risis.in/)
18:48:41	2442/2442	---MC-	200	added ('OK')	text/xml	date:Thu,%2014%20Sep%202023%2017:48:40%20GMT	https://risis.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frisis.in%2F&format=xml	C:/My%20Web%20Sites/risis/risis.in/wp-json/oembed/1.0/embedd186	(from https://risis.in/)
18:48:42	19883/19883	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/apple-touch-icon.png	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/apple-touch-icon.png	(from https://risis.in/)
18:48:44	2496/2496	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/favicon-32x32.png	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/favicon-32x32.png	(from https://risis.in/)
18:48:45	1137/1137	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/favicon-16x16.png	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/favicon-16x16.png	(from https://risis.in/)
18:48:47	476/476	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/site.webmanifest	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/site.html	(from https://risis.in/)
18:48:48	5051/5051	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/safari-pinned-tab.svg	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/safari-pinned-tab.svg	(from https://risis.in/)
18:48:51	12014/12014	---M--	200	added ('OK')	image/x-icon	date:Thu,%2026%20Aug%202021%2003:08:11%20GMT	https://risis.in/wp-content/uploads/fbrfg/favicon.ico	C:/My%20Web%20Sites/risis/risis.in/wp-content/uploads/fbrfg/favicon.ico	(from https://risis.in/)
18:48:52	19386/19386	---M--	200	added ('OK')	image/png	etag:%223dc59cb2539dd3f3%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/cropped-risis-foundation.png?fit=1575%2C324&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/cropped-risis-foundation5a52.png	(from https://risis.in/)
18:48:57	61566/61566	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:48:48%20GMT	https://risis.in/practice-areas/	C:/My%20Web%20Sites/risis/risis.in/practice-areas/index.html	(from https://risis.in/)
